(-3, 58, 2)
(-15, 58, 2)
(3, -58, 2)
(7, -58, 2)
(31, -58, 2)
(43, -58, 2)
(59, -39, 2)
(59, -34, 2)
(59, -13, 1)
(59, 6, 2)
(59, 57, 2)
(55, 59, 1)
(49, 59, 2)
(45, 59, 1)
(43, 59, 1)
(39, 59, 2)
(25, 59, 1)
(21, 59, 2)
(-59, 41, 2)
(-59, 29, 2)
(-59, 17, 1)
(60, -41, 2)
(60, 23, 2)
(53, -60, 3)
(61, -37, 2)
(61, 3, 1)
(61, 11, 1)
(61, 35, 2)
(61, 51, 2)
(61, 59, 3)
(39, 61, 1)
(-11, 61, 2)
(-13, 61, 2)
(-15, 61, 1)
(-21, 61, 1)
(-39, 61, 1)
(-61, 61, 3)
(5, -61, 1)
(21, -61, 2)
(31, -61, 2)
(35, -61, 2)
(37, -61, 1)
(39, -61, 2)
(45, -61, 1)
(61, -61, 3)
(23, 62, 2)
(3, -62, 2)
(63, -53, 2)
(63, -43, 2)
(63, -19, 2)
(63, -11, 1)
(63, -5, 1)
(63, -2, 2)
(63, -1, 1)
(63, 2, 2)
(63, 10, 2)
(63, 11, 2)
(63, 13, 1)
(63, 23, 1)
(63, 37, 1)
(25, 63, 2)
(-63, 17, 2)
(19, -63, 2)
(64, -49, 3)
(64, 47, 2)
(34, -64, 2)
(65, -57, 3)
(65, -1, 0)
(65, 23, 1)
(65, 39, 3)
(19, 65, 2)
(-3, 65, 2)
(-7, 65, 2)
(-9, 65, 2)
(-11, 65, 2)
(-17, 65, 2)
(-23, 65, 2)
(-33, 65, 2)
(-47, 65, 2)
(-51, 65, 2)
(-63, 65, 2)
(51, -65, 2)
(35, -66, 3)
(67, -37, 1)
(67, -15, 2)
(67, -7, 1)
(67, -1, 0)
(67, 2, 1)
(67, 17, 1)
(67, 23, 1)
(67, 27, 2)
(67, 38, 2)
(67, 41, 2)
(67, 62, 2)
(67, 65, 2)
(63, 67, 1)
(51, 67, 1)
(33, 67, 1)
(27, 67, 1)
(21, 67, 1)
(7, -67, 1)
(15, -67, 2)
(55, -67, 2)
(68, 47, 2)
(69, -53, 1)
(69, -37, 1)
(69, -29, 1)
(69, -13, 1)
(69, -1, 1)
(69, 7, 1)
(69, 11, 2)
(69, 19, 2)
(69, 31, 1)
(69, 35, 2)
(69, 43, 2)
(69, 67, 1)
(55, 69, 2)
(-69, 61, 1)
(29, -69, 2)
(71, -67, 1)
(71, 21, 2)
(57, 71, 2)
(49, 71, 2)
(43, 71, 2)
(31, 71, 1)
(28, 71, 2)
