(55, 29, 1)	(-2996, -164945, '0')
(55, 53, 2)	(-2972, -166265, '0')
(27, 55, 2)	(-674, -20439, '0')
(3, -55, 2)	(-64, 147, '0')
(43, -55, 2)	(-1904, -75293, '0')
(56, 23, 2)	(-3113, -173768, '0')
(34, 56, 3)	(-1100, -40052, '0')
(57, -41, 1)	(-3290, -179607, '0')
(57, -13, 1)	(-3262, -181203, '0')
(57, -1, 0)	(-3250, -181887, '0')
(57, 7, 1)	(-3242, -182343, '0')
(57, 31, 1)	(-3218, -183711, '0')
(57, 43, 2)	(-3206, -184395, '0')
(57, 47, 1)	(-3202, -184623, '0')
(-57, 41, 2)	(-3208, 190779, '0')
(-57, 32, 1)	(-3217, 190266, '0')
(-57, 17, 1)	(-3232, 189411, '0')
(13, -57, 2)	(-226, -1287, '0')
(23, -57, 2)	(-586, -10327, '0')
(25, -57, 2)	(-682, -13575, '0')
(35, -57, 2)	(-1282, -39655, '0')
(58, -16, 2)	(-3380, -190820, '0')
(-3, 58, 2)	(49, 210, '0')
(-15, 58, 2)	(-167, 4470, '0')
(3, -58, 2)	(-67, 156, '0')
(7, -58, 2)	(-107, 112, '0')
(31, -58, 2)	(-1019, -27032, '0')
(43, -58, 2)	(-1907, -75164, '0')
(59, -39, 2)	(-3520, -199597, '0')
(59, -34, 2)	(-3515, -199892, '0')
(59, -13, 1)	(-3494, -201131, '0')
(59, 6, 2)	(-3475, -202252, '0')
(59, 57, 2)	(-3424, -205261, '0')
(55, 59, 1)	(-2966, -166595, '0')
(49, 59, 2)	(-2342, -118139, '0')
(45, 59, 1)	(-1966, -91755, '0')
(43, 59, 1)	(-1790, -80195, '0')
(39, 59, 2)	(-1462, -60099, '0')
(25, 59, 1)	(-566, -16475, '0')
(21, 59, 2)	(-382, -10059, '0')
(-59, 41, 2)	(-3440, 211279, '0')
(-59, 29, 2)	(-3452, 210571, '0')
(-59, 17, 1)	(-3464, 209863, '0')
(60, -41, 2)	(-3641, -209940, '0')
(60, 23, 2)	(-3577, -213780, '0')
(53, -60, 3)	(-2869, -142888, '0')
(61, -37, 2)	(-3758, -221003, '0')
(61, 3, 1)	(-3718, -223443, '0')
(61, 11, 1)	(-3710, -223931, '0')
(61, 35, 2)	(-3686, -225395, '0')
(61, 51, 2)	(-3670, -226371, '0')
(61, 59, 3)	(-3662, -226859, '0')
(39, 61, 1)	(-1460, -60177, '0')
(-11, 61, 2)	(-60, 2123, '0')
(-13, 61, 2)	(-108, 3159, '0')
(-15, 61, 1)	(-164, 4515, '0')
(-21, 61, 1)	(-380, 10983, '0')
(-39, 61, 1)	(-1460, 63219, '0')
(-61, 61, 3)	(-3660, 234423, '0')
(5, -61, 1)	(-86, 205, '0')
(21, -61, 2)	(-502, -7539, '0')
(31, -61, 2)	(-1022, -26939, '0')
(35, -61, 2)	(-1286, -39515, '0')
(37, -61, 1)	(-1430, -47027, '0')
(39, -61, 2)	(-1582, -55419, '0')
(45, -61, 1)	(-2086, -86355, '0')
(61, -61, 3)	(-3782, -219539, '0')
(23, 62, 2)	(-467, -13064, '0')
(3, -62, 2)	(-71, 168, '0')
